1.728134e-08 1.728134e-08 1.999263e-01 0.00 0.45531269806747615 -0.0397827163256654 0.1545960967133817 0.5647692899377309 335.4499469675117,339.44885849125785,343.448432494975,347.44771714518913,351.4475560401144,355.44705376681054,359.4471572390521,363.4467542215973,367.4468255834747,371.4466325783817,375.446851871415,379.44683294333,383.4470353418023,387.44694416663833,391.4473153808912,395.44716481676727,399.4473491800039,403.4473617792244,407.4473825038877,411.4472034913663,415.4472885116462,419.44697327873786,423.44696805797963,427.44634071803733,431.44648702940856
1.739169e-08 1.739169e-08 2.011434e-01 0.00 0.45531269806747615 -0.0397827163256654 0.1578564045963284 0.5647692899377309 335.451105297037,339.45003760029573,343.4496279076186,347.44893188638747,351.448776819946,355.4482943698956,359.448412700372,363.4480122930323,367.4481203129633,371.4479234538073,375.4481625164513,379.44816232064346,383.4483667175048,387.44830146814087,391.4486929453561,395.448527316285,399.44874741853727,403.44876895621775,407.44879718892895,411.44862255675304,415.4487266024142,419.448417370903,423.4483920249528,427.44780039387615,431.4479223353074
1.703164e-08 1.703164e-08 2.026517e-01 0.00 0.45531269806747615 -0.0397827163256654 0.1620831089105045 0.5647692899377309 335.45254941473667,339.45148667455487,343.4511155593213,347.45041053415025,351.4503020092093,355.4498277816552,359.4499542562885,363.4495782252976,367.4496958847708,371.4495401025215,375.44979280368733,379.44980093743754,383.45002368417715,387.44998480771005,391.45036799617264,395.4502405382989,399.4504576143447,403.45050665425043,407.4505348897634,411.4503711413763,415.450494312926,419.4501853386563,423.4501902568722,427.4496097562601,431.44971368205694
1.695576e-08 1.695576e-08 2.033370e-01 0.00 0.45531269806747615 -0.0397827163256654 0.16406995601798763 0.5647692899377309 335.4531993782937,339.4521588348158,343.45178232478037,347.45109783235904,351.4509836968853,355.45053078944784,359.45066772691433,363.45029517099226,367.45042495112017,371.45025145621173,375.45052240230774,379.4505520344463,383.45076912725034,387.45073038717345,391.45113400108687,395.45100228234054,399.45123667340806,403.451270544471,407.4513303876444,411.4511685912416,415.45130075686086,419.4510019292092,423.4510091325969,427.45043553472425,431.4505476068994
1.778532e-08 1.778532e-08 1.997049e-01 0.00 0.45531269806747615 -0.0397827163256654 0.15400764110576995 0.5647692899377309 335.4497419469239,339.44864230392335,343.4482142514731,347.447482643593,351.4473288759333,355.44683398603166,359.44692038065165,363.4465144935204,367.4466017235301,371.4463926980932,375.4466124185855,379.44659423926595,383.44677616822537,387.4467253541561,391.4470807574981,395.4468975573993,399.44710578520113,403.4471050635377,407.447113494062,411.446953886813,415.4470340070734,419.4467040940507,423.4466824127392,427.4460848659667,431.4462111620826
1.681886e-08 1.681886e-08 2.016306e-01 0.00 0.45531269806747615 -0.0397827163256654 0.159217631224624 0.5647692899377309 335.4515830890006,339.4505089795637,343.4501209201595,347.4494129502259,351.4492693135531,355.4488012805044,359.44891387885434,363.44853024849596,367.44862781954566,371.4484371148534,375.4486957647226,379.4486931224525,383.44890884868266,387.4488478774622,391.449232750831,395.4490762830286,399.44930067256894,403.4493109038489,407.4493608665279,411.4491967422369,415.44928596150424,419.4489937815024,423.44898168286244,427.4484014529272,431.4485262320868
1.747219e-08 1.747219e-08 2.005029e-01 0.00 0.45531269806747615 -0.0397827163256654 0.15612732716415748 0.5647692899377309 335.4504972573605,339.4494130920092,343.4490161426557,347.44827547983084,351.44814620079165,355.4476419754911,359.4477448001462,363.44734009933467,367.4474389156575,371.44724021325493,375.44747768869354,379.4474675429283,383.4476681154834,387.44759090626155,391.44796793906403,395.44779468334343,399.4480142669204,403.4480341177425,407.4480472128684,411.44788806543704,415.4479712418174,419.4476632188143,423.44763733907996,427.44704674539673,431.44715793972057
1.770954e-08 1.770954e-08 1.999509e-01 0.00 0.45531269806747615 -0.0397827163256654 0.1546538452527157 0.5647692899377309 335.449975037587,339.4488733927483,343.44846008853585,347.4477302159262,351.4475789089757,355.44708300850186,359.4471777315475,363.44676695820056,367.44685650608267,371.4466362352118,375.446871160178,379.4468716972905,383.4470588028451,387.4469836461004,391.447353412925,395.4471765215555,399.4473767169377,403.4473941490135,407.4474093067181,411.44723886991466,415.44732656513696,419.4470055282455,423.4469908872762,427.44638393369775,431.4465165118105
1.754268e-08 1.754268e-08 2.007174e-01 0.00 0.45531269806747615 -0.0397827163256654 0.15670088488769515 0.5647692899377309 335.4506952374188,339.4496210852115,343.44921854105394,347.44850588682453,351.4483405598643,355.4478716182544,359.4479803832598,363.4475695776094,367.44766382270535,371.4474687782972,375.44770640924577,379.44769286828694,383.44789098299015,387.4478399107741,391.4481998194409,395.44805512318874,399.44825844996467,403.44829001146053,407.44831181714767,411.44812029180224,415.44822173067377,419.4479039978195,423.4478946549905,427.44729743402365,431.4474325433218
1.714759e-08 1.714759e-08 2.008745e-01 0.00 0.45531269806747615 -0.0397827163256654 0.15712412109775367 0.5647692899377309 335.450849196319,339.4497700342867,343.44937446965554,347.4486448368944,351.4485049617594,355.44802572358003,359.44812845308036,363.4477343748709,367.44782977269597,371.4476302556921,375.44788604567646,379.447869173915,383.4480729027642,387.44801131575446,391.44837569079334,395.448223686424,399.4484459952414,403.44845521134664,407.44847898928674,411.44831756318393,415.4484112988646,419.4480990370033,423.44808318076497,427.4474917445016,431.4476128140202
