# k  P_s(k)  (external_Pk format)
9.00000000e-07 1.00000000e-300
1.00000000e-06 1.00000000e-300
3.71831181e-04 2.55982410e-09
4.83380535e-04 2.53461483e-09
6.69296126e-04 3.49441391e-10
7.80845480e-04 2.07181569e-09
9.29577953e-04 5.21427410e-10
1.07831043e-03 1.72172193e-09
1.22704290e-03 6.84168259e-10
1.37577537e-03 1.66210735e-09
1.52450784e-03 7.38505308e-10
1.67324031e-03 2.14743995e-09
1.82197279e-03 2.41707955e-09
1.97070526e-03 2.40718475e-09
2.11943773e-03 2.41056618e-09
2.26817020e-03 2.40997427e-09
2.41690268e-03 2.40562213e-09
2.56563515e-03 2.40235986e-09
2.71436762e-03 2.39859892e-09
2.86310009e-03 2.39478541e-09
3.01183257e-03 2.39077855e-09
3.16056504e-03 2.38423629e-09
3.30929751e-03 2.37886333e-09
3.45802998e-03 2.32957967e-09
3.60676246e-03 2.09698990e-09
3.75549493e-03 1.11630403e-09
3.90422740e-03 1.28869719e-09
4.05295987e-03 7.83297719e-10
4.20169235e-03 1.81391427e-09
4.31324170e-03 1.66529111e-09
4.46197417e-03 8.67657726e-10
4.61070665e-03 1.21348801e-09
4.75943912e-03 1.23096436e-09
4.90817159e-03 2.15673600e-09
5.05690406e-03 2.69795878e-09
5.20563653e-03 1.89816714e-09
5.35436901e-03 2.98655835e-09
5.50310148e-03 1.64155023e-09
5.65183395e-03 2.39477173e-09
5.80056642e-03 1.81736182e-09
5.94929890e-03 1.48108039e-09
6.09803137e-03 1.37759576e-09
6.24676384e-03 1.42972439e-09
6.39549631e-03 9.55836879e-10
6.54422879e-03 1.87536121e-09
6.65577814e-03 1.98423926e-09
6.80451061e-03 8.19003202e-10
6.95324309e-03 1.34978858e-09
7.10197556e-03 9.18286475e-10
7.25070803e-03 1.24051388e-09
7.39944050e-03 1.00535186e-09
7.54817298e-03 1.17852916e-09
7.69690545e-03 1.17227966e-09
7.84563792e-03 1.25443324e-09
7.99437039e-03 1.36151161e-09
8.14310286e-03 2.27327288e-09
8.29183534e-03 1.79833171e-09
8.44056781e-03 2.72270986e-09
8.58930028e-03 2.83502286e-09
8.73803275e-03 1.63266668e-09
8.88676523e-03 2.57545461e-09
8.97563288e-03 2.30668011e-09
1.03310683e-02 2.29607839e-09
1.18911917e-02 2.28552539e-09
1.36869138e-02 2.27502090e-09
1.57538129e-02 2.26456468e-09
1.81328402e-02 2.25415653e-09
