rank,folder_num,loss_integer,chi2_CMB,filtered_count,mt,kt,omega_b_ratio,h,A_s,n_s,tau,H0,Omega_m,omegabh2,Omega_K,Omega_lambda,allowedK_spacing
1,155,0.000413,2770.0860,14,417.675690,1.447635,0.155880,0.548887,2.034081,0.968492,0.039182,55.1453,0.467777,0.022301,-0.037126,0.569349,4.0090
2,125,0.000620,2756.9390,614,417.831616,1.447052,0.164286,0.541564,2.107393,0.968053,0.054310,54.8816,0.471864,0.022555,-0.039124,0.567260,4.0105
3,166,0.000935,2757.1070,596,417.764789,1.446772,0.158968,0.553932,2.043034,0.972175,0.045755,55.5017,0.459249,0.022524,-0.036999,0.577751,4.0101
4,170,0.002107,2758.1140,193,417.740467,1.448293,0.155844,0.561145,2.076545,0.969180,0.051768,55.5701,0.454997,0.022588,-0.037446,0.582448,4.0083
5,139,0.004320,2769.8710,2,426.674882,1.446881,0.162276,0.559677,2.082027,0.971460,0.054941,55.2405,0.462763,0.022970,-0.039983,0.577219,4.0392
6,123,0.004423,2759.5730,149,407.870574,1.404436,0.159985,0.555199,2.094307,0.974526,0.057081,55.9241,0.449893,0.022557,-0.035900,0.586008,4.0389
7,77,0.004443,2764.2590,54,408.371894,1.405208,0.160679,0.543100,2.068552,0.969705,0.048548,54.8889,0.466905,0.022382,-0.039788,0.572883,4.0395
8,61,0.004911,2776.7610,1,418.879007,1.428545,0.155844,0.541564,1.975707,0.964849,0.029001,54.7815,0.477457,0.022121,-0.037109,0.559652,4.0405
9,159,0.005049,2756.9390,670,417.728820,1.425755,0.162600,0.545518,2.107393,0.968053,0.054310,54.8816,0.471864,0.022555,-0.039124,0.567260,4.0406
