rank,folder_num,loss_integer,chi2_CMB,filtered_count,mt,kt,omega_b_ratio,h,A_s,n_s,tau,H0,Omega_m,omegabh2,Omega_K,Omega_lambda,allowedK_spacing
1,13,0.000643,2757.1340,489,409.969398,1.459351,0.163514,0.547313,2.095762,0.972835,0.053017,55.4773,0.456043,0.022740,-0.038752,0.582709,4.0364
2,25,0.001061,2757.1340,360,409.969116,1.457696,0.163248,0.551427,2.095762,0.972835,0.053017,55.4773,0.456043,0.022740,-0.038752,0.582709,4.0411
3,32,0.002794,2758.4620,621,418.887977,1.477230,0.158458,0.550499,2.030476,0.967708,0.046112,55.1575,0.464634,0.022535,-0.038654,0.574020,4.0434
4,90,0.004182,2760.6900,66,427.215700,1.502166,0.160506,0.560518,2.089110,0.975387,0.057388,54.9719,0.463969,0.022770,-0.041050,0.577081,4.0231
5,59,0.007029,2759.5140,178,418.841170,1.475392,0.157372,0.545492,2.081571,0.968037,0.051692,54.9768,0.467893,0.022463,-0.038976,0.571083,4.0460
6,17,0.007730,2757.1340,394,409.944213,1.454564,0.161706,0.549674,2.095762,0.972835,0.053017,55.4773,0.456043,0.022740,-0.038752,0.582709,4.0431
7,6,0.007883,2763.1790,99,418.841479,1.475027,0.157029,0.545443,2.049573,0.967498,0.042410,54.8303,0.472720,0.022378,-0.038812,0.566092,3.7322
8,111,0.012068,2758.4620,708,418.156418,1.472336,0.163104,0.547807,2.030476,0.967708,0.046112,55.1575,0.464634,0.022535,-0.038654,0.574020,3.7341
9,80,0.013751,2761.4430,21,427.400332,1.493139,0.164286,0.541564,2.094659,0.970127,0.052127,54.6497,0.476847,0.022771,-0.040417,0.563570,3.7275
