rank,folder_num,loss_integer,chi2_CMB,filtered_count,mt,kt,omega_b_ratio,h,A_s,n_s,tau,H0,Omega_m,omegabh2,Omega_K,Omega_lambda,allowedK_spacing
1,76,0.000294,2758.3530,370,427.161507,1.532563,0.155844,0.543442,2.108821,0.965799,0.052255,54.4983,0.480307,0.022525,-0.039930,0.559623,3.9687
2,116,0.001216,2765.3720,11,419.284741,1.517265,0.164286,0.561145,2.044370,0.974954,0.050667,55.2918,0.458163,0.022972,-0.040869,0.582706,3.9661
3,66,0.001544,2758.4620,499,429.479473,1.537466,0.155844,0.561145,2.030476,0.967708,0.046112,55.1575,0.464634,0.022535,-0.038654,0.574020,3.9717
4,88,0.002306,2758.4620,416,427.576024,1.537466,0.155844,0.561145,2.030476,0.967708,0.046112,55.1575,0.464634,0.022535,-0.038654,0.574020,3.9656
5,47,0.003191,2758.4620,522,429.879518,1.537466,0.155844,0.561145,2.030476,0.967708,0.046112,55.1575,0.464634,0.022535,-0.038654,0.574020,3.9729
