# plik lowl lowE chi_eff_sq As ns tau
6.319320e+03 4.159166e+01 3.974471e+02 6.758359e+03 2.07841972 0.90916529 0.06663690
2.966843e+03 4.465240e+01 3.994135e+02 3.410909e+03 2.20079232 0.93236217 0.07378032
2.646370e+03 5.961262e+01 3.982176e+02 3.104200e+03 2.19024693 0.96108782 0.07359733
1.926095e+04 2.000000e+30 3.973303e+02 2.000000e+30 1.87781883 0.96259961 0.07383048
2.717926e+03 7.599355e+01 3.981788e+02 3.192098e+03 2.16302803 0.97927140 0.07573242
1.783901e+04 5.397628e+01 3.963068e+02 1.828929e+04 2.36299083 0.97802153 0.05100578
2.901547e+03 2.000000e+30 3.975788e+02 2.000000e+30 2.15230542 1.00697297 0.07602459
1.099062e+04 2.000000e+30 3.982836e+02 2.000000e+30 1.96581403 0.99202337 0.07972700
2.779945e+03 6.985642e+01 3.979454e+02 3.247747e+03 2.15493546 0.97090624 0.07412125
5.517921e+03 8.082010e+01 3.983170e+02 5.997058e+03 2.06369330 0.97052716 0.07639797
6.593172e+03 6.530101e+01 3.969165e+02 7.055390e+03 2.29836978 0.98481055 0.06935794
3.245933e+03 7.549300e+01 3.980319e+02 3.719458e+03 2.12534861 0.97361122 0.07498952
9.601591e+03 4.742251e+01 4.006892e+02 1.004970e+04 2.41438550 0.96382182 0.07831356
2.645383e+03 6.446187e+01 3.977530e+02 3.107597e+03 2.18864929 0.96843917 0.07270789
2.975793e+05 5.801123e+01 4.029241e+02 2.980402e+05 3.47839121 0.97833278 0.07301255
6.950543e+03 6.990627e+01 3.983082e+02 7.418758e+03 2.04410323 0.95503535 0.07497128
2.321245e+05 5.537940e+01 3.969268e+02 2.325768e+05 3.15907194 0.96736180 0.04476575
1.083102e+04 7.961908e+01 3.991450e+02 1.130979e+04 1.99510091 0.95830370 0.07879687
2.655326e+03 6.831291e+01 3.971944e+02 3.120834e+03 2.17869554 0.97292156 0.07099586
2.752504e+03 8.370995e+01 3.969492e+02 3.233163e+03 2.16627578 0.98983053 0.07119361
2.726474e+03 8.540369e+01 3.968464e+02 3.208724e+03 2.14116253 0.98822334 0.07095602
1.168066e+04 2.000000e+30 3.966093e+02 2.000000e+30 1.92883080 0.98480150 0.07090797
3.095089e+03 2.000000e+30 3.962711e+02 2.000000e+30 2.08705275 0.99507714 0.06740000
6.400858e+03 6.869930e+01 3.975553e+02 6.867112e+03 2.30443597 0.98952900 0.07277573
4.184323e+03 8.470370e+01 3.967649e+02 4.665791e+03 2.22658230 0.99940722 0.07042509
1.162891e+04 7.250017e+01 3.985042e+02 1.209992e+04 2.38604731 1.00384104 0.07687339
3.937950e+03 7.117034e+01 3.960843e+02 4.405205e+03 2.17592365 0.98096104 0.05514457
3.004884e+03 2.000000e+30 3.961200e+02 2.000000e+30 2.11606828 1.00914884 0.06292058
2.744058e+03 6.871901e+01 3.967624e+02 3.209539e+03 2.18217721 0.97450130 0.06888887
4.615228e+03 6.087829e+01 3.968555e+02 5.072962e+03 2.26335764 0.97382143 0.06852963
6.120137e+03 7.977223e+01 3.970995e+02 6.597008e+03 2.03472955 0.96648440 0.07151155
3.279133e+03 7.767773e+01 3.962054e+02 3.753016e+03 2.18804327 0.98751246 0.06577507
1.006563e+04 6.932511e+01 3.967660e+02 1.053172e+04 2.33927198 0.99573360 0.06910484
3.124099e+03 7.768873e+01 3.974128e+02 3.599200e+03 2.12014089 0.97608722 0.07278239
1.610778e+04 4.192063e+01 3.975316e+02 1.654723e+04 2.45276781 0.95002376 0.06682657
5.379430e+03 5.112823e+01 3.964042e+02 5.826962e+03 2.27937554 0.95891494 0.06446498
6.776575e+03 2.000000e+30 3.967915e+02 2.000000e+30 2.00634081 0.98242785 0.07130269
2.945439e+03 4.640610e+01 3.978549e+02 3.389700e+03 2.22544913 0.94049912 0.06964260
2.809431e+03 7.143730e+01 3.979383e+02 3.278806e+03 2.15084455 0.97237876 0.07414244
4.504865e+03 7.848246e+01 3.982066e+02 4.981554e+03 2.08664125 0.97133107 0.07598669
2.722438e+03 5.821552e+01 3.986964e+02 3.179350e+03 2.21814173 0.96219986 0.07486128
2.650348e+03 6.221084e+01 3.977927e+02 3.110351e+03 2.19179555 0.96557551 0.07253503
2.820096e+03 5.747594e+01 3.980787e+02 3.275651e+03 2.21973198 0.96165097 0.07272309
6.923673e+03 6.815092e+01 3.992229e+02 7.391047e+03 2.05701898 0.95390263 0.07771672
4.075074e+03 5.622039e+01 3.989352e+02 4.530230e+03 2.28620991 0.96735519 0.07549161
1.369354e+04 7.123652e+01 3.981648e+02 1.416294e+04 1.95629591 0.94373698 0.07444305
2.600780e+04 4.071855e+01 3.989203e+02 2.644744e+04 2.55802082 0.95131087 0.07032460
6.701310e+03 4.921861e+01 3.987268e+02 7.149255e+03 2.34574575 0.96099317 0.07334907
2.657879e+03 7.212785e+01 3.973639e+02 3.127370e+03 2.17596068 0.97729676 0.07194862
